model,target_state,landmark,horizon,n_records,mean_auc_ipcw,sd_auc_ipcw,n_valid_auc_ipcw,mean_c_index_ipcw,sd_c_index_ipcw,n_valid_c_index_ipcw,mean_brier_ipcw,sd_brier_ipcw,n_valid_brier_ipcw
parametric,1,1.4514093101024628,1.526887086033821,5,0.7510119047619047,0.05978712591494988,3,0.740189393939394,0.07154222129885714,3,0.04502856105243427,0.011138451700797618,3
parametric,1,1.4514093101024628,1.6023648619651794,5,0.6524565741562239,0.16469843906564835,4,0.655350029081774,0.1605637589900259,4,0.07958564005323272,0.06121586935009917,4
parametric,1,1.4514093101024628,1.6778426378965379,5,0.6616851226103282,0.07355714141102683,5,0.6381717707259212,0.06289761147514807,5,0.12174620610960293,0.04767534127777254,5
parametric,1,1.4514093101024628,1.7533204138278962,5,0.6984321801375815,0.11513792464590095,5,0.6754061975329968,0.09155082321592006,5,0.1508293744213161,0.057107627664098465,5
parametric,1,1.4514093101024628,1.8287981897592545,5,0.6912359256636951,0.10589327830011853,5,0.6693506890469147,0.08364919286689845,5,0.2156434551025983,0.05816457884207312,5
parametric,1,1.4514093101024628,1.9042759656906127,5,0.6394352647920782,0.12048063745359898,5,0.6389586262859598,0.10035703325257461,5,0.2681405297359767,0.07524336422609346,5
parametric,1,1.4514093101024628,1.979753741621971,5,0.6255126723594671,0.11761016008265437,5,0.6374963057892049,0.09103863971827754,5,0.2728110181571303,0.05512378424350991,5
parametric,1,1.4514093101024628,2.0552315175533296,5,0.653222174862971,0.12272205155617405,5,0.6307677090204231,0.10887296889367026,5,0.28030684409764006,0.05428697254202734,5
parametric,1,1.4514093101024628,2.1307092934846876,5,0.6588816730484492,0.09954831046217351,5,0.6416558114241375,0.08758310493332154,5,0.2631367491981019,0.046573668159134135,5
parametric,1,1.4514093101024628,2.206187069416046,5,0.6446418853913596,0.09487316235466753,5,0.6272457692538079,0.05862457025526886,5,0.25224947929491315,0.04141402091269732,5
parametric,1,1.4514093101024628,2.2816648453474047,5,0.6145143507379752,0.15001949020756136,5,0.6103320966832235,0.05785371436262482,5,0.23606191758707257,0.046535113612884316,5
parametric,1,1.4514093101024628,2.3571426212787627,5,0.6313411432155706,0.14856781009418443,5,0.607571119148273,0.06639097848909892,5,0.21613852118619503,0.0495749047611809,5
parametric,1,1.4514093101024628,2.4326203972101212,5,0.5709822529675844,0.24934267236976224,5,0.6195312753229811,0.0548469502462836,5,0.20025385734954426,0.03187052474745103,5
parametric,1,1.4514093101024628,2.5080981731414793,5,0.6002118747640026,0.22595956759176017,4,0.6147975697211462,0.09239882920527559,4,0.19096870426805496,0.03921446295903312,4
parametric,1,1.4514093101024628,2.583575949072838,5,0.6652920123827815,0.16762590448587508,3,0.6574507572337348,0.030906044159623097,3,0.16815832093285446,0.01894753381692213,3
parametric,1,1.4514093101024628,2.6590537250041963,5,0.8631759616416596,0.1319455947851583,3,0.6528038107769215,0.02758807573785476,3,0.10392709696394442,0.05273111596628427,3
parametric,1,1.4514093101024628,2.7345315009355544,5,0.9509357538155463,0.08498176722654124,3,0.647034921265864,0.027938231181706224,3,0.07817479353263261,0.037719820216505405,3
parametric,1,1.4514093101024628,2.8100092768669125,5,0.9509357538155463,0.08498176722654124,3,0.6413674187096491,0.04626133517612159,3,0.07208620486712765,0.03504031112608915,3
parametric,1,1.4514093101024628,2.885487052798271,5,0.9509357538155463,0.08498176722654117,3,0.6551447146422856,0.014821696342950857,3,0.07185329490681454,0.03769163867386804,3
parametric,1,1.4514093101024628,2.9609648287296295,5,0.9119206346641823,0.12456303302312809,2,0.6591417378445205,0.036435297029322224,2,0.08744637592696597,0.050218765254221746,2
parametric,1,1.4514093101024628,3.036442604660988,5,0.7948752772100903,,1,0.6228688066899145,,1,0.018522270810125918,,1
parametric,1,1.4514093101024628,3.111920380592346,5,0.7948752772100903,,1,0.624748169728032,,1,0.012710380493605447,,1
parametric,1,1.4514093101024628,3.187398156523704,5,,,0,,,0,,,0
parametric,1,1.4514093101024628,3.2628759324550627,5,,,0,,,0,,,0
parametric,1,1.4514093101024628,3.338353708386421,5,,,0,,,0,,,0
parametric,1,1.4514093101024628,3.4138314843177797,5,,,0,,,0,,,0
parametric,1,1.4514093101024628,3.489309260249138,5,,,0,,,0,,,0
parametric,1,1.4514093101024628,3.5647870361804963,5,,,0,,,0,,,0
parametric,1,1.4514093101024628,3.6402648121118544,5,,,0,,,0,,,0
parametric,1,1.4514093101024628,3.715742588043213,5,,,0,,,0,,,0
parametric,1,2.107118248939514,2.1607390602429706,5,0.3006365740740741,0.2653473229387598,3,0.27751865914571583,0.2269435906068896,3,0.21418809169098943,0.16517129817163595,3
parametric,1,2.107118248939514,2.2143598715464274,5,0.8134672619047618,0.1756022528108559,5,0.7868092778465051,0.19611546773957939,5,0.21578525210455032,0.11872853956257165,5
parametric,1,2.107118248939514,2.267980682849884,5,0.8479033687943263,0.21455987993569647,5,0.8058769431362153,0.2114562552970923,5,0.22867874076136943,0.10596490819077276,5
parametric,1,2.107118248939514,2.3216014941533407,5,0.7143229166666666,0.08022143764705113,5,0.6989613341887866,0.10846314515265577,5,0.21986344940880667,0.10267746500151666,5
