horizon,n_train,n_test,n_train_events,n_test_events,auc_ipcw,c_index_ipcw,brier_ipcw,fold,model,landmark
0.5827948689460755,188,46,28,4,0.9226514713126904,0.8295915854235104,0.0642207709839733,1,jmstate,0.3708520382642746
0.6887662842869758,188,46,28,5,0.8914306791070663,0.7681033430863873,0.07656674492754101,1,jmstate,0.3708520382642746
0.9007091149687767,188,46,28,5,0.9044344929714103,0.7775722882441768,0.06024634161154413,1,jmstate,0.3708520382642746
0.7897820472717285,127,29,17,1,0.8947368421052632,0.8461538461538461,0.03677325511548144,1,jmstate,0.6295860111713409
0.8698800653219223,127,29,17,1,1.0,0.8846153846153847,0.029597371617945963,1,jmstate,0.6295860111713409
1.0300761014223099,127,29,17,2,1.0,0.9392161731288534,0.05336388614332839,1,jmstate,0.6295860111713409
0.9964954376220703,65,13,10,1,1.0,1.0,0.07415649029583211,1,jmstate,0.8879777491092682
1.0507542818784714,65,13,10,1,1.0,1.0,0.06954516820804318,1,jmstate,0.8879777491092682
1.1592719703912735,65,13,10,1,1.0,1.0,0.061236322646664405,1,jmstate,0.8879777491092682
0.5827948689460755,185,49,26,3,0.9166342087616838,0.8600243421038238,0.05257679314599674,2,jmstate,0.3708520382642746
0.6887662842869758,185,49,26,3,0.9367435550999051,0.8600243421038238,0.04318256665148787,2,jmstate,0.3708520382642746
0.9007091149687767,185,49,26,5,0.6302419260968922,0.541402999556762,0.15036624737786647,2,jmstate,0.3708520382642746
0.7897820472717285,124,32,14,0,,,,2,jmstate,0.6295860111713409
0.8698800653219223,124,32,14,1,0.4545454545454546,0.43478260869565216,0.10651230174430991,2,jmstate,0.6295860111713409
1.0300761014223099,124,32,14,5,0.8061321052757451,0.7441365198572353,0.33032305004019413,2,jmstate,0.6295860111713409
0.9964954376220703,56,22,7,3,0.7839916380228749,0.7415978180803608,0.1849123094544229,2,jmstate,0.8879777491092682
1.0507542818784714,56,22,7,4,0.8906959257464141,0.7958091388673325,0.24772931674771567,2,jmstate,0.8879777491092682
1.1592719703912735,56,22,7,4,0.888888888888889,0.7958091388673325,0.24191196885556457,2,jmstate,0.8879777491092682
0.5827948689460755,187,47,28,2,0.9762730927703211,0.9711524966632586,0.04043088788835954,3,jmstate,0.3708520382642746
0.6887662842869758,187,47,28,4,0.9823983690647448,0.9606319582978092,0.0578720899109036,3,jmstate,0.3708520382642746
0.9007091149687767,187,47,28,5,0.7450401311678589,0.7189990848043699,0.05376147440820008,3,jmstate,0.3708520382642746
0.7897820472717285,119,37,16,2,0.46649567168964423,0.4642427108440847,0.03982279412264036,3,jmstate,0.6295860111713409
0.8698800653219223,119,37,16,2,0.46649567168964434,0.4642427108440847,0.042062563486925275,3,jmstate,0.6295860111713409
1.0300761014223099,119,37,16,2,0.4664956716896443,0.4642427108440847,0.039755941145167076,3,jmstate,0.6295860111713409
0.9964954376220703,62,16,10,0,,,,3,jmstate,0.8879777491092682
1.0507542818784714,62,16,10,0,,,,3,jmstate,0.8879777491092682
1.1592719703912735,62,16,10,0,,,,3,jmstate,0.8879777491092682
0.5827948689460755,189,45,29,1,0.28125,0.3055555555555556,0.0482063904767318,4,jmstate,0.3708520382642746
0.6887662842869758,189,45,29,1,0.23809523809523814,0.3055555555555556,0.038892551523575965,4,jmstate,0.3708520382642746
0.9007091149687767,189,45,29,3,0.6202504349873649,0.5918354891685335,0.1520658212880305,4,jmstate,0.3708520382642746
0.7897820472717285,127,29,15,0,,,,4,jmstate,0.6295860111713409
0.8698800653219223,127,29,15,2,0.7432432432432433,0.7531744481344014,0.08649347271466777,4,jmstate,0.6295860111713409
1.0300761014223099,127,29,15,2,0.7432432432432432,0.7531744481344014,0.13924436057274592,4,jmstate,0.6295860111713409
0.9964954376220703,64,14,9,0,,,,4,jmstate,0.8879777491092682
1.0507542818784714,64,14,9,0,,,,4,jmstate,0.8879777491092682
1.1592719703912735,64,14,9,2,0.8333333333333334,0.7916358253145818,0.23608115930009946,4,jmstate,0.8879777491092682
0.5827948689460755,187,47,25,4,0.9606719972656774,0.9230769230769231,0.05622917831474112,5,jmstate,0.3708520382642746
0.6887662842869758,187,47,25,4,0.9904260708333955,0.9222692698482212,0.05162591226272299,5,jmstate,0.3708520382642746
0.9007091149687767,187,47,25,6,0.730594340128599,0.7304330717133712,0.17136587638191847,5,jmstate,0.3708520382642746
0.7897820472717285,127,29,14,1,0.9,0.875,0.06791690078933853,5,jmstate,0.6295860111713409
0.8698800653219223,127,29,14,2,0.5315243415802076,0.5530980937699743,0.1463791399729597,5,jmstate,0.6295860111713409
1.0300761014223099,127,29,14,4,0.7021272908137811,0.6696287596518016,0.25239730635860586,5,jmstate,0.6295860111713409
0.9964954376220703,65,13,8,1,0.625,0.7000000000000001,0.1655276453656545,5,jmstate,0.8879777491092682
1.0507542818784714,65,13,8,2,0.7578794627792401,0.7794620949924245,0.2428085420382907,5,jmstate,0.8879777491092682
1.1592719703912735,65,13,8,3,0.909873373764433,0.8575770704934748,0.10975998521830041,5,jmstate,0.8879777491092682
