horizon,n_train,n_test,n_train_events,n_test_events,auc_ipcw,c_index_ipcw,brier_ipcw,fold,model,landmark
0.406175843377908,188,46,28,0,,,,1,jmbayes2,0.370852038264275
0.441499648491542,188,46,28,1,0.5853658536585366,0.5581395348837209,0.027332584294108227,1,jmbayes2,0.370852038264275
0.476823453605175,188,46,28,2,0.7671672866501974,0.7454760574463899,0.046967202436134434,1,jmbayes2,0.370852038264275
0.512147258718809,188,46,28,3,0.8373414921950977,0.7936122760818711,0.05924273012131298,1,jmbayes2,0.370852038264275
0.547471063832442,188,46,28,4,0.9130794654036714,0.8236141903127355,0.06647042054387148,1,jmbayes2,0.370852038264275
0.582794868946075,188,46,28,4,0.9150615801453961,0.8236141903127355,0.06380949799123338,1,jmbayes2,0.370852038264275
0.618118674059709,188,46,28,4,0.9085667256426282,0.8226774839369544,0.06266008095027856,1,jmbayes2,0.370852038264275
0.653442479173342,188,46,28,4,0.9137043453507979,0.8226774839369544,0.0639414431065559,1,jmbayes2,0.370852038264275
0.688766284286976,188,46,28,5,0.8751440376453299,0.7631902881843989,0.07821843599411858,1,jmbayes2,0.370852038264275
0.724090089400609,188,46,28,5,0.869198515628441,0.7679284116253211,0.07678104997142655,1,jmbayes2,0.370852038264275
0.759413894514243,188,46,28,5,0.8760253600724615,0.7589665418318191,0.07616818743562653,1,jmbayes2,0.370852038264275
0.794737699627876,188,46,28,5,0.8771025319278444,0.7691247955390167,0.07670123032856585,1,jmbayes2,0.370852038264275
0.83006150474151,188,46,28,5,0.8698732691000706,0.7691247955390167,0.07937578057607053,1,jmbayes2,0.370852038264275
0.865385309855143,188,46,28,5,0.8818379620164501,0.7649010491864366,0.0754082045000994,1,jmbayes2,0.370852038264275
0.9007091149687771,188,46,28,5,0.9044344929714104,0.7649010491864366,0.057679042687980936,1,jmbayes2,0.370852038264275
0.93603292008241,188,46,28,6,1.0,0.8250204197493509,0.0747293063294506,1,jmbayes2,0.370852038264275
0.971356725196044,188,46,28,6,1.0,0.8292453789996448,0.07143278908916685,1,jmbayes2,0.370852038264275
1.00668053030968,188,46,28,6,1.0,0.8359316364186388,0.06865270679688057,1,jmbayes2,0.370852038264275
1.04200433542331,188,46,28,6,1.0,0.8319606836726803,0.06641484425921698,1,jmbayes2,0.370852038264275
1.07732814053694,188,46,28,6,1.0,0.8319606836726803,0.06514181911153762,1,jmbayes2,0.370852038264275
1.11265194565058,188,46,28,6,1.0,0.8319606836726803,0.06427855708543219,1,jmbayes2,0.370852038264275
1.14797575076421,188,46,28,6,0.9999999999999999,0.8319606836726803,0.06274385337623711,1,jmbayes2,0.370852038264275
1.18329955587784,188,46,28,6,0.9999999999999999,0.8319606836726803,0.06377201302664877,1,jmbayes2,0.370852038264275
1.21862336099148,188,46,28,6,0.9999999999999999,0.8319606836726803,0.06543325612103401,1,jmbayes2,0.370852038264275
1.25394716610511,188,46,28,6,0.9999999999999999,0.84017104286008,0.07053353636785256,1,jmbayes2,0.370852038264275
1.28927097121874,188,46,28,6,1.0,0.84017104286008,0.07952022454001692,1,jmbayes2,0.370852038264275
1.32459477633238,188,46,28,6,1.0,0.84017104286008,0.06280376368403398,1,jmbayes2,0.370852038264275
1.35991858144601,188,46,28,6,1.0,0.8362000901141216,0.05636167945536903,1,jmbayes2,0.370852038264275
1.39524238655965,188,46,28,6,1.0,0.8362000901141216,0.061668949597499606,1,jmbayes2,0.370852038264275
1.43056619167328,188,46,28,6,,,,1,jmbayes2,0.370852038264275
0.656285350521406,127,29,17,0,,,,1,jmbayes2,0.629586011171341
0.68298468987147,127,29,17,1,0.875,0.8076923076923077,0.037165601055157614,1,jmbayes2,0.629586011171341
0.709684029221535,127,29,17,1,0.9545454545454546,0.8846153846153847,0.03632208431600933,1,jmbayes2,0.629586011171341
0.736383368571599,127,29,17,1,0.95,0.8846153846153847,0.03593316074543933,1,jmbayes2,0.629586011171341
0.763082707921664,127,29,17,1,0.95,0.8846153846153847,0.036022618456936925,1,jmbayes2,0.629586011171341
