fold,fit_seconds,prediction_seconds
1,22.01592359994538,1.988777100108564
2,24.716947900131345,1.7932915000710636
3,24.433746099937707,2.014003299875185
4,27.17497930000536,1.9880428998731077
5,23.993924600072205,2.018609599908814
