parameter,estimate,stderr
fixed_effects[0],0.718941330909729,0.22352364659309387
fixed_effects[1],2.2510132789611816,0.34138956665992737
fixed_effects[2],-0.19590981304645538,0.23396503925323486
fixed_effects[3],-0.7799379825592041,0.35385215282440186
fixed_effects[4],0.27874550223350525,0.08942056447267532
fixed_effects[5],-0.08241565525531769,0.05892627686262131
fixed_effects[6],0.06398800760507584,0.0075494092889130116
random_prec.flat[0],0.08894670009613037,0.058037228882312775
random_prec.flat[1],-0.22374320030212402,0.05680076777935028
random_prec.flat[2],-0.5285083651542664,0.07898855209350586
noise_prec.flat[0],1.0569813251495361,0.010198131203651428
"base_hazards.(0, 1).log_lmda[0]",-1.3399988412857056,0.2495652139186859
"base_hazards.(0, 1).log_k[0]",0.08985944837331772,0.08621674031019211
"link_coefs.(0, 1)[0]",1.3787342309951782,0.10853800177574158
"link_coefs.(0, 1)[1]",-0.019206233322620392,0.18340083956718445
"link_coefs.(0, 1)[2]",0.6559404730796814,0.07887058705091476
