fold,fit_seconds,prediction_seconds
0,182.3082640999928,
1,224.54154650005512,19.72683380008675
2,135.27258559991606,19.738917000126094
3,84.54951880010776,19.713030700106174
4,96.95901410002261,19.742671199841425
5,93.9325542000588,19.911669599823654
