horizon,n_train,n_test,n_train_events,n_test_events,auc_ipcw,c_index_ipcw,brier_ipcw,target_state,transition,landmark,fold,model
1.526887086033821,91,23,64,1,0.7142857142857143,0.6818181818181819,0.04267032172494618,1,0->1,1.4514093101024628,1,parametric
1.6023648619651794,91,23,64,2,0.6569767441860463,0.6337323289650192,0.0801744581298813,1,0->1,1.4514093101024628,1,parametric
1.6778426378965379,91,23,64,5,0.764743343463955,0.7196763330887698,0.18438250591324548,1,0->1,1.4514093101024628,1,parametric
1.7533204138278962,91,23,64,5,0.8752909968770975,0.8042532652429282,0.16937615338543943,1,0->1,1.4514093101024628,1,parametric
1.8287981897592545,91,23,64,8,0.7585469382419624,0.7136832577136449,0.2500417770597739,1,0->1,1.4514093101024628,1,parametric
1.9042759656906127,91,23,64,8,0.6560002310519191,0.6313955367711577,0.22598123159889846,1,0->1,1.4514093101024628,1,parametric
1.979753741621971,91,23,64,10,0.6362950820411697,0.6644287888357868,0.2519674857493084,1,0->1,1.4514093101024628,1,parametric
2.0552315175533296,91,23,64,12,0.6980994668039737,0.613806954062867,0.2749867952994315,1,0->1,1.4514093101024628,1,parametric
2.1307092934846876,91,23,64,12,0.7144919277889229,0.6182730061974376,0.24198113902039065,1,0->1,1.4514093101024628,1,parametric
2.206187069416046,91,23,64,13,0.7684784656385562,0.6051693264669997,0.21218175743811615,1,0->1,1.4514093101024628,1,parametric
2.2816648453474047,91,23,64,13,0.7684784656385562,0.59996812769225,0.18236390153365356,1,0->1,1.4514093101024628,1,parametric
2.3571426212787627,91,23,64,13,0.7684784656385562,0.6227041428724583,0.16810703591038714,1,0->1,1.4514093101024628,1,parametric
2.4326203972101212,91,23,64,13,0.7592392328192781,0.6485128633212589,0.1561397096052941,1,0->1,1.4514093101024628,1,parametric
2.5080981731414793,91,23,64,13,0.6793651248924576,0.6434391413050817,0.13805790377457194,1,0->1,1.4514093101024628,1,parametric
2.583575949072838,91,23,64,13,0.6920635831182486,0.6243286289064456,0.14646983734128044,1,0->1,1.4514093101024628,1,parametric
2.6590537250041963,91,23,64,13,1.0,0.6295289707006535,0.050132970083225745,1,0->1,1.4514093101024628,1,parametric
2.7345315009355544,91,23,64,13,1.0,0.6147777630774713,0.049644133657662584,1,0->1,1.4514093101024628,1,parametric
2.8100092768669125,91,23,64,13,1.0,0.5892960633708051,0.0452898715571703,1,0->1,1.4514093101024628,1,parametric
2.885487052798271,91,23,64,13,1.0,0.6699110617168712,0.04503375892609955,1,0->1,1.4514093101024628,1,parametric
2.9609648287296295,91,23,64,14,,,,1,0->1,1.4514093101024628,1,parametric
3.036442604660988,91,23,64,14,,,,1,0->1,1.4514093101024628,1,parametric
3.111920380592346,91,23,64,14,,,,1,0->1,1.4514093101024628,1,parametric
3.187398156523704,91,23,64,14,,,,1,0->1,1.4514093101024628,1,parametric
3.2628759324550627,91,23,64,14,,,,1,0->1,1.4514093101024628,1,parametric
3.338353708386421,91,23,64,14,,,,1,0->1,1.4514093101024628,1,parametric
3.4138314843177797,91,23,64,14,,,,1,0->1,1.4514093101024628,1,parametric
3.489309260249138,91,23,64,14,,,,1,0->1,1.4514093101024628,1,parametric
3.5647870361804963,91,23,64,14,,,,1,0->1,1.4514093101024628,1,parametric
3.6402648121118544,91,23,64,14,,,,1,0->1,1.4514093101024628,1,parametric
3.715742588043213,91,23,64,14,,,,1,0->1,1.4514093101024628,1,parametric
1.526887086033821,208,52,108,1,0.33999999999999997,0.33333333333333337,0.01965808169464239,2,1->2,1.4514093101024628,1,parametric
1.6023648619651794,208,52,108,2,0.5827087421471406,0.5828034814925248,0.03810484359378863,2,1->2,1.4514093101024628,1,parametric
1.6778426378965379,208,52,108,5,0.6821342350405495,0.681327009586311,0.09400598979951501,2,1->2,1.4514093101024628,1,parametric
1.7533204138278962,208,52,108,7,0.7556251884534648,0.7412599789193948,0.12449776353249377,2,1->2,1.4514093101024628,1,parametric
1.8287981897592545,208,52,108,8,0.7926788626049116,0.7552593458228432,0.12760283818483326,2,1->2,1.4514093101024628,1,parametric
1.9042759656906127,208,52,108,11,0.7285565965730402,0.7175745815206517,0.17655813910813659,2,1->2,1.4514093101024628,1,parametric
1.979753741621971,208,52,108,12,0.6803451067767456,0.6799269072908534,0.19676899504501172,2,1->2,1.4514093101024628,1,parametric
2.0552315175533296,208,52,108,16,0.7167633154870651,0.6835691280591399,0.2259833599880317,2,1->2,1.4514093101024628,1,parametric
2.1307092934846876,208,52,108,17,0.7181759631094018,0.67124246808601,0.22673621308623423,2,1->2,1.4514093101024628,1,parametric
2.206187069416046,208,52,108,19,0.7130701341659167,0.6441944818846612,0.2335996113620837,2,1->2,1.4514093101024628,1,parametric
2.2816648453474047,208,52,108,23,0.7111570377781867,0.6479468879189523,0.25399541731998343,2,1->2,1.4514093101024628,1,parametric
2.3571426212787627,208,52,108,24,0.66567632592961,0.637361186730496,0.2686075992500264,2,1->2,1.4514093101024628,1,parametric
2.4326203972101212,208,52,108,24,0.708631663962564,0.657496879120454,0.2458327076937454,2,1->2,1.4514093101024628,1,parametric
2.5080981731414793,208,52,108,25,0.619760003301625,0.6558600054308644,0.2469312100151135,2,1->2,1.4514093101024628,1,parametric
2.583575949072838,208,52,108,25,0.6107112186285154,0.6550916907969733,0.22880506913260984,2,1->2,1.4514093101024628,1,parametric
2.6590537250041963,208,52,108,26,0.6856297688498325,0.6552505699062037,0.1724750345516889,2,1->2,1.4514093101024628,1,parametric
2.7345315009355544,208,52,108,26,0.5832757118457073,0.6550078864508273,0.15661751097353604,2,1->2,1.4514093101024628,1,parametric
2.8100092768669125,208,52,108,26,0.6013267706214127,0.6622683042198552,0.16215125914035433,2,1->2,1.4514093101024628,1,parametric
2.885487052798271,208,52,108,27,0.890223609924887,0.6731664633147815,0.1535695063834606,2,1->2,1.4514093101024628,1,parametric
2.9609648287296295,208,52,108,28,0.6418298032742298,0.6359903529906012,0.1889255649709747,2,1->2,1.4514093101024628,1,parametric
3.036442604660988,208,52,108,28,0.6620798951947567,0.645912139387451,0.2796417346081513,2,1->2,1.4514093101024628,1,parametric
3.111920380592346,208,52,108,29,,,,2,1->2,1.4514093101024628,1,parametric
3.187398156523704,208,52,108,29,,,,2,1->2,1.4514093101024628,1,parametric
3.2628759324550627,208,52,108,29,,,,2,1->2,1.4514093101024628,1,parametric
3.338353708386421,208,52,108,29,,,,2,1->2,1.4514093101024628,1,parametric
3.4138314843177797,208,52,108,29,,,,2,1->2,1.4514093101024628,1,parametric
3.489309260249138,208,52,108,29,,,,2,1->2,1.4514093101024628,1,parametric
3.5647870361804963,208,52,108,29,,,,2,1->2,1.4514093101024628,1,parametric
3.6402648121118544,208,52,108,29,,,,2,1->2,1.4514093101024628,1,parametric
3.715742588043213,208,52,108,29,,,,2,1->2,1.4514093101024628,1,parametric
1.526887086033821,289,72,59,0,,,,3,2->3,1.4514093101024628,1,parametric
1.6023648619651794,289,72,59,0,,,,3,2->3,1.4514093101024628,1,parametric
1.6778426378965379,289,72,59,1,,,,3,2->3,1.4514093101024628,1,parametric
1.7533204138278962,289,72,59,1,,,,3,2->3,1.4514093101024628,1,parametric
1.8287981897592545,289,72,59,1,,,,3,2->3,1.4514093101024628,1,parametric
